Date,aapl_price,nasdaq_price
2/4/13,13.626787,3131.169922
2/5/13,14.104919,3171.580078
2/6/13,14.08983,3168.47998
2/7/13,14.508772,3165.129883
2/8/13,14.718246,3193.870117
2/11/13,14.87163,3192
2/12/13,14.498853,3186.48999
2/13/13,14.471278,3196.879883
2/14/13,14.458261,3198.659912
2/15/13,14.259012,3192.030029
2/19/13,14.253746,3213.590088
2/20/13,13.908555,3164.409912
2/21/13,13.822097,3131.48999
2/22/13,13.969288,3161.820068
2/25/13,13.721079,3116.25
2/26/13,13.912269,3129.649902
2/27/13,13.775928,3162.26001
2/28/13,13.677698,3160.189941
3/1/13,13.33901,3169.73999
3/4/13,13.016125,3182.030029
3/5/13,13.359769,3224.129883
3/6/13,13.18996,3222.370117
3/7/13,13.342419,3232.090088
3/8/13,13.377743,3244.370117
3/11/13,13.568316,3252.870117
3/12/13,13.275794,3242.320068
3/13/13,13.273314,3245.120117
3/14/13,13.401916,3258.929932
3/15/13,13.747728,3249.070068
3/18/13,14.121432,3237.590088
3/19/13,14.083319,3229.100098
3/20/13,14.00864,3254.189941
3/21/13,14.028779,3222.600098
3/22/13,14.313245,3245
3/25/13,14.364996,3235.300049
3/26/13,14.289387,3252.47998
3/27/13,14.00864,3256.52002
3/28/13,13.716742,3267.52002
4/1/13,13.290668,3239.169922
4/2/13,13.317939,3254.860107
4/3/13,13.38611,3218.600098
4/4/13,13.253794,3224.97998
4/5/13,13.113733,3203.860107
4/8/13,13.207004,3222.25
4/9/13,13.230866,3237.860107
4/10/13,13.500761,3297.25
4/11/13,13.458619,3300.159912
4/12/13,13.318247,3294.949951
4/15/13,13.009923,3216.48999
4/16/13,13.207932,3264.629883
4/17/13,12.481597,3204.669922
4/18/13,12.148483,3166.360107
4/19/13,12.101385,3206.060059
4/22/13,12.353619,3233.550049
4/23/13,12.584785,3269.330078
4/24/13,12.564023,3269.649902
4/25/13,12.654504,3289.98999
4/26/13,12.927811,3279.26001
4/29/13,13.328161,3307.02002
4/30/13,13.72046,3328.790039
5/1/13,13.612312,3299.129883
5/2/13,13.805368,3340.620117
5/3/13,13.943566,3378.629883
5/6/13,14.276061,3392.969971
5/7/13,14.212534,3396.629883
5/8/13,14.373048,3413.27002
5/9/13,14.247654,3409.169922
5/10/13,14.129124,3436.580078
5/13/13,14.184333,3438.790039
5/14/13,13.844967,3462.610107
5/15/13,13.376769,3471.620117
5/16/13,13.555505,3465.23999
5/17/13,13.514326,3498.969971
5/20/13,13.815953,3496.429932
5/21/13,13.713957,3502.120117
5/22/13,13.766671,3463.300049
5/23/13,13.791314,3459.419922
5/24/13,13.885205,3459.139893
5/28/13,13.769479,3488.889893
5/29/13,13.878965,3467.52002
5/30/13,14.08577,3491.300049
5/31/13,14.028064,3455.909912
6/3/13,14.058943,3465.370117
6/4/13,14.014961,3445.26001
6/5/13,13.883955,3401.47998
6/6/13,13.676528,3424.050049
6/7/13,13.78102,3469.219971
6/10/13,13.689937,3473.77002
6/11/13,13.6497,3436.949951
6/12/13,13.480951,3400.429932
6/13/13,13.598545,3445.360107
6/14/13,13.414202,3423.560059
6/17/13,13.475023,3452.129883
6/18/13,13.467854,3482.179932
6/19/13,13.194298,3443.199951
6/20/13,13.002151,3364.639893
6/21/13,12.897967,3357.25
6/24/13,12.556103,3320.76001
6/25/13,12.558909,3347.889893
6/26/13,12.416677,3376.219971
6/27/13,12.282863,3401.860107
6/28/13,12.368639,3403.25
7/1/13,12.764467,3434.48999
7/2/13,13.053619,3433.399902
7/3/13,13.125669,3443.669922
7/5/13,13.020245,3479.379883
7/8/13,12.946318,3484.830078
7/9/13,13.174022,3504.26001
7/10/13,13.123487,3520.76001
7/11/13,13.328114,3578.300049
7/12/13,13.303779,3600.080078
7/15/13,13.332787,3607.48999
7/16/13,13.418881,3598.5
7/17/13,13.42231,3610
7/18/13,13.467542,3611.280029
7/19/13,13.255121,3587.610107
7/22/13,13.29754,3600.389893
7/23/13,13.069215,3579.27002
